"2023-12-07", "alle", "Thema siehe Pad", "`Anmeldung <https://trolug.pads.ccc.de/2023-12>`__"
"2023-11-02", "alle", "Pentesting", "`Anmeldung <https://trolug.pads.ccc.de/2023-11>`__"
"2023-10-05", "Rei", "Selfhosting", "`Anmeldung <https://trolug.pads.ccc.de/2023-10>`__"
"2023-09-07", "alle", "XMPP Teil 2", "`Anmeldung <https://trolug.pads.ccc.de/2023-09>`__"
"2023-08-03", "Viktoria Rei Bauer", "CrowdSec - not your average fail2ban replacement", "`Anmeldung <https://trolug.pads.ccc.de/2023-08>`__"
"2023-07-06", "Rainer Dohmen", "XMPP (ehemals Jabber)", "`Anmeldung <https://trolug.pads.ccc.de/2023-07>`__"
"2023-06-01", "alle", "gpg mit WKD finalisieren", "`Anmeldung <https://trolug.pads.ccc.de/2023-06>`__"
"2023-05-04", "alle", "gpg", "`Anmeldung <https://trolug.pads.ccc.de/2023-05>`__"
"2023-04-06", "alle", "Thema siehe Pad", "`Anmeldung <https://trolug.pads.ccc.de/2023-04>`__"
"2023-03-02", "Jan Grosser", "(r)einfälle - Mein persönlicher Rückblick auf fast 20 Jahre Basteln&Hacken", "`Anmeldung <https://trolug.pads.ccc.de/2023-03>`__"
"2023-02-02", "alle", "Flatpak und Co", "`Anmeldung <https://trolug.pads.ccc.de/2023-02>`__"
"2023-01-05", "alle", "Backup", "`Anmeldung <https://trolug.pads.ccc.de/2023-01>`__"

