"2020-12-03", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2020-12>`__"
"2020-11-05", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2020-11>`__"
"2020-10-01", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2020-10>`__"
"2020-09-03", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2020-09>`__"
"2020-08-06", "alle", "Thema noch offen", "`Anmeldung <https://trolug.pads.ccc.de/2020-08>`__"
"2020-07-02", "alle", "Big Blue Button, Inkscape", "`Anmeldung <https://trolug.pads.ccc.de/2020-07>`__"
"2020-06-04", "Harald Weidner", "Virtual Private Networks mit Wireguard (online)", "`Anmeldung <https://trolug.pads.ccc.de/2020-06>`__"
"2020-05-07", "Jan Grosser", "Restic Backup (online)", "`Protokoll <https://trolug.pads.ccc.de/2020-05>`__, `Folien (PDF) <http://downloads.trolug.de/2020-05-07_trolug_jan_grosser_restic-backup.pdf>`__"
"2020-04-02", "alle", "Chat- und Konferenzsysteme (online)", "`Anmeldung <https://trolug.pads.ccc.de/2020-04>`__"
"2020-03-05", "Jonas Stein", "Sichere Webseiten mit Nikola", "`Anmeldung <https://trolug.pads.ccc.de/2020-03>`__"
"2020-02-06", "Jan Grosser", "Linux Monitoring mit Munin", "`Protokoll <https://trolug.pads.ccc.de/2020-02>`__, `Folien (PDF) <http://downloads.trolug.de/2020-02-06_trolug_jan_grosser_munin.pdf>`__"
"2020-01-02", "alle", "Probleme lösen und Starthilfe für Einsteiger", "`Protokoll <https://trolug.pads.ccc.de/2020-01>`__"

